笔记标题,笔记作者,笔记发布日期,点赞数,评论数,评论用户,评论内容,评论日期,点赞数
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,不走弯路的K,"1. 关于自动饮水机，买的陶瓷材质有滤芯，每1-2天清洗一次，但还是每次洗时感觉有黏糊糊的感觉。而且洗起来很麻烦。 过年4天不在家，没有及时清洗，打开后里面水都变粉红了！ 2.发本帖初衷：提醒大家自动饮水机的问题！如果家里猫和我家一样，可以用陶瓷碗喝水的，就别用自动饮水机了。如果不爱喝水，只能用自动饮水机的，就每天洗的更勤快些！ 3. 那些关于我懒的言论。我家8只猫，7只都是救的流浪猫，希望你们不懒也多做善事，好好关注自己的生活和家人～ 置顶评论",2025-02-04,149
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,不走弯路的K,没想到帖子那么多人看，也是好事！希望能帮一个是一个～ 不是猫猫没事就说明水没问题！我家8只猫，因为这只正好最近免疫力低，所以中招了。,2025-02-04,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,丢丢,啊啊啊，我家半个月洗一次盘子，暂时还没发现粉色菌，用了二年了。有陪的二代饮水机。一直用的纯净水 昨天 00:08湖南,昨天 00:08,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,芒果和奶盖,定期用牙套泡腾片消毒就行了,2025-02-15,92
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,芒果和奶盖,每周消毒一到两次就不会,2025-02-15,16
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,无情后妈,"我家饮水机用了快两年了一直没有出现这个问题 不过我很多上门喂猫客户都反映过会产生这个粉色菌落 很奇怪 不知道是不是跟水源和清洗方法有关？ 我家一直喝的是过滤水 平均一周用洗洁精彻底清洗一次 我几个反馈长粉色菌落的都是用的瓶装饮用水 清洗频率和方式没有具体了解",2025-02-04,56
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,不走弯路的K,对的 我也是用瓶装水,2025-02-04,15
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,ᅠᅠ,"自动饮水机也是要洗的，只是可以比普通碗洗的频率小一些。滤芯棉也要换，管道用棉签伸进去洗。我的饮水机用三年了也没这个情况",2025-02-03,19
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,养大肥猫,我也是，没水就直接清洗干净再倒水，滤芯每个月最少换一次，水泵能拆开就拆开洗,2025-02-03,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,之之牛奶,哪款是杀菌的饮水机啊 有推荐吗,2025-03-05辽宁,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,是大禹啦～,有看到过一款hiigge还没下手 ，不知道有没有用过的,2025-03-18四川,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,追随于苏格拉底,我上门喂猫，把饮水机也洗了，底部擦干的，她就有点生气，说不用洗的,2025-02-06,2
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,t腹型肥胖患者的苦逼,你好负责。你们那里多钱一次,2025-02-07,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,kuma,有一说一，你这锅甩的有点过分了,2025-02-02,126
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,不走弯路的K,自己去搜一搜再来说，善意提醒，不信可继续。没人能救装睡的人,2025-02-04,82
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,风烟俱净,自动饮水机应该买个带紫外线灯的,2025-02-07,2
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,见过饭团形状的猫么？,可是理论上紫外线灯工作时应该人员都避免开，医院、餐厅都必须是，他这个怎么保证不灼伤猫咪角膜啊…,2025-02-07,3
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,斯国一内,我用小佩三年了，没这个问题啊,2025-02-13,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,斯国一内,对了，我用的是自己家装的反渗透净水器出的水,2025-02-13,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,小红薯63F18103,有个牌子可选配水泵带紫外灯的，目前用了一个月没发现问题。不过我滤芯换的也很勤快,2025-02-05,2
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,榕焱照南枝,请问什么牌子？,2025-02-06,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,谁发明的调休,不洗吗，我记得是三天一换水五天一刷的，然后21天左右换滤网，我买的带杀菌的也都这么操作,2025-02-03,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,不走弯路的K,我写了，洗的 每1-2天洗一次,2025-02-04,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,一眨眼就到了,"我家饮水机是定时的，时间一到不管水干净的还是脏的直接把水倒掉换新的，不是循环水，就是水浪费比较多",2025-02-11,7
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,六子面馆,这是哪款啊亲,2025-02-12,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,甜甜（毛娘）,真诚提问，猫留守在家期间，能用饮水机吗,2025-02-11,8
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,也无风雨也无晴,留守期间，只能用饮水机了，储水量大,2025-02-11,3
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,只吃麦当劳谢谢,lz你可以分享一下你多久清理一次饮水机，看到截图里说不到一个月就会变红…自动饮水机也是要每周清洁的啊,2025-02-04,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,不走弯路的K,我写了哦，1-2天洗一次,2025-02-04,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,抹茶叶蛋🥚,我在饮水机里放了一片煮茶用的银叶子就再也没有黏糊糊了,2025-02-08,25
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,momo,哇 学到了,2025-02-08,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,波妞喝雪碧,完犊子.....我两周洗一次,2025-02-05,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,不走弯路的K,多洗洗,2025-02-05,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,24K纯黑的八一老爷,我家这种饮水机用了五年换了三台，从来没有这种情况呀！就是普通凉白开，水泵要定期拆开清洁,2025-02-10,3
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,Ramses,水泵里面怎么拆？我看到是封死的，拆过很多次也拆不开，那些扇叶能拆开？,2025-02-14,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,土豆啊土豆,2025-02-02,2025-02-02,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,土豆啊土豆,冬天酸奶机2天换一次水 库库喝水 夏天天天换洗水盆,2025-02-02,14
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,R.,我本来想买的 但是想想普通水碗每天洗也就几秒钟的时间 饮水机要洗好久,2025-02-04,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,不走弯路的K,对的，陶瓷碗洗起来方便，饮水机角角落落我每次洗很久,2025-02-04,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,超级麻烦,"我家也是！！ 小米 小佩都是 杀菌款也是！！过年回家放了最古老那种一个大罐子自己出水的 也会红 但是除了宠物自动饮水机 家里的其他东西 马桶 人的饮水机 水槽 就不会 现在也换了陶瓷碗 一天一洗 就不红了 但是如果外出几天估计还是要放自动饮水机 怎么办",2025-02-22,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,碳水小猫不会呼噜,可能猫猫身上带着，去喝水，掉到饮水机里就繁殖了,2025-02-23,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,🦌,两天洗一次，洗一次要十多分钟，里里外外全部拆开拿刷子刷，顶多会有一点点生物膜，过滤的全部拆掉不用，单纯把水循环起来,2025-02-07,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,Esme.O（前叉重生版）,那你的水泵带uv杀菌吗，我还想买个最基础的，没有uv杀菌,2025-02-13,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,小5小6小7和小乖还有觉觉爸,那么多款净污分离的饮水机你一个都没买过吗,2025-02-11,4
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,不想长大的王西瓜🍉,求推荐,2025-02-12,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,补药再给我放糖了！,"我给我妈那边买了替换的东西，我妈为了省钱从来没换过，前几天我把猫接过来养，洗了一下饮水机 没法用只能丢掉了，难怪猫不爱喝水到了尿闭的程度",2025-02-27浙江,17
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,momo,2025-03-04江苏,2025-03-04,12
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,云菇朵朵开,"得用那种好清洗的，我之前想给家里添第二个饮水机刷到直播间我问好不好清洗，主播说好清洗，结果展示一看根本洗不了出水口的的那根管子 包括我妹妹买的那款我一看那个管子7字型我就放弃也买一个的念头了，当初我问好不好洗也是跟我说好洗",2025-04-14江苏,3
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,momo,求推荐,2025-05-29广东,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,lucky玄珞,不流动的水碗总是敞开着，很容易进去灰尘，只要经常洗饮水机就不会有问题，我家水碗我两天一洗，饮水机四，五天洗一次。,2025-02-04,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,不走弯路的K,那就是我这个饮水机不好，我4天没洗就这样了,2025-02-04,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,温彻斯特0405,买过三个饮水器，什么小佩还有其他牌子的，结果发现家里三只最喜欢的是家里一个老古董炖盅………朴实无华,2025-06-11四川,3
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,闪光,请问直接用这个代替碗装水吗,2025-06-18湖北,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,达纳苏斯,没必要，就用陶瓷碗，一天洗1到2次多省事,2025-07-03安徽,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,Daisy-cchen,主要家里有只小猫不爱喝陶瓷碗里的水,2025-08-01江苏,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,绣袖,因为这种饮水机就是有清洗不到的地方，比如连接水泵的水管内壁，我们早都换成酸奶机了，不锈钢的还可以放洗碗机洗+消毒,2025-02-06,4
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,momo🎣,酸奶机长啥样,2025-02-06,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,亿元人民币暴富财主,"唉，我家猫肠胃不好落下病根就是因为饮水机，过滤的那层有次洗的时候发现了虫，黑色长条的，大概也就一厘米长，烧的70多度的开水居然烫不死， 后来换成陶瓷水碗和水杯了，现在每天早上晚上各换一次水（医生说的）",2025-02-07,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,超能力桥水,所以你多久洗一次饮水机… 多久换一次滤芯或者里面所有的循环装置？,2025-02-04,3
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,不走弯路的K,1-2天洗一次，这次过年不在家4天没洗,2025-02-04,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,yuka,我也是从饮水机换回陶瓷碗，每天洗碗换水很干净，饮水机有太多清洁不到的卫生死角,2025-02-25,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,猫的大院,自动饮水机是要经常清洗的，一般两三天就要清洗了，猫猫只是喜欢那种循环的出水方式而已,2025-02-04,2
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,嘟嘟,……啊啊啊好麻烦,2025-02-04,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,子曾经曰过,"我今天刚退掉买的饮水机，主要原因是我这台用了三四天机器工作的时候发出来很刺耳尖锐的蜂鸣音，官方客服嘴硬跟我说那是机器工作的声音，这种分贝的噪音我都受不了，指望猫这种听觉更敏锐的动物接受吗。原本是想换一台的，但仔细琢磨了下，我买的不能杀菌，只能过滤猫毛之类的，合着宝贝就搁那天天循环喝自己的口水呐 ，而且我就一个娃，陶瓷碗天天换水洗碗方便又干净，果断用回来",2025-02-23,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,小红薯_5775,请问是什么品牌 避雷一下,2025-08-23贵州,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,美腻蛙维修经理,"我家饮水机用了半年多了，没有红色过，自带紫外线杀菌的，每天睡前杀一下，一周左右洗一次换一次滤芯，有时候换的时候还会用开水烫一下，洗的时候也没有滑滑的",2025-03-12重庆,7
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,雷不醒,你好，你用的是什么饮水机,2025-03-20江西,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,黑土的奇妙冒险,"会和各地方的水源什么有关系吗，我用了小半年完全不会这样，水都是干干净净的（用的酸奶机那种简单的零件组合）水泵是我另配的，但是用了两个月的水泵里面也还是一点异常都没有，包括滑溜感也没有 水是我水龙头水煮了放凉的，平时的饮用水也都是这么来，里面还会添加洁齿水搭配这样",2025-02-17,4
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,少年他的奇幻漂刘老师,我之前查过，有人说是用纯净水会比自来水烧开更容易生细菌，因为自来水用氯消毒，水里会有氯离子可以抑制细菌生长,2025-02-18,2
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,🍑芝乐,我就买拆出来方便没有卫生死角好打理的 就消毒泡腾片一周消毒一次 每天都清洗一次就够了,2025-08-29广西,3
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,🌸,请问哪一款没有卫生死角啊，感觉小米的好难洗,2025-10-13新疆,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,妖怪精想来盘丝洞收集卡牌,我每天都洗的，但还是对那个滤芯不信任，我觉得那就是个污染源(ｰ ｰ;)已经买了新的那种净水污水分开不用滤芯的了，试试看那种,2025-02-04,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,不走弯路的K,和你一样，也担心过那个滤芯。,2025-02-04,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,诶我天那,碗里有猫毛咋办那,2025-05-14天津,2
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,就听谁知,说到点子上了，我换饮水机就是为了这个,2025-09-11江苏,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,Chloeeeee,也是，三天刷一次，彻底刷，马达都拆开刷，也没用，照样滋生粉红色的细菌 ，无语了，但是水碗他们谁也不喝，只能定期换饮水机了,2025-02-26,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,不锈钢水杯,每天换水有用吗,01-12浙江,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,阿木的微醺实验室,啊？我用的霍曼饮水机➕怡宝纯净水，没出现过这种情况诶……,2025-02-19,2
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,天天,我家也是，但真的会红，我家都是一天一洗了，已经换了5个饮水机（都是每天放烘干机里消毒变形的），现在换成碗了，早晚换一次水,2025-02-20,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,咕叽咕叽,"那啥，去买那种真的无死角的，磁吸抽水上来的，别买那种什么真空水泵或者直接一个水泵直接抽的了，我都不敢相信水泵里面有多少我看不到的细菌 我之前买的真空外置水泵，感觉还是有卫生死角，现在买的磁吸抽水的，无死角接触水源的部件都可以拆洗（跟底座是分开的，磁吸设计）我每次拆了直接热水盖盖子闷泡（问了客服说是可以热水烫洗的，广东dna就喜欢用热水烫才觉得安全 ）配件就这么几个还有一个水盆跟一个底座，水盆跟底座是分离式的，缺点就是偶尔装不稳会有噪音配件需要重装，但重装挺简单的",2025-02-08,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,可爱,姐妹。求链接,2025-02-09,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,🌟,只能说你清洁的不勤,2025-02-03,2
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,不走弯路的K,多久勤？ 你文字看了吗,2025-02-04,5
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,江中仙丨,我就想问你们用的是不是自来水,2025-09-17重庆,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,🌸,"不是自来水也会有，我家用的管线机，每个星期拿假牙泡腾片洗饮水机，但是还是会有粉色的菌，已经换回最原始的陶瓷碗了，每天换水",2025-10-13新疆,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,阿水的虎皮蛋,我放一片银在饮水机里，没那么容易变滑,2025-02-25,2
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,calla,请问就是普通的银饰品吗？,2025-05-04上海,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,My cats silly no fish,家里用一年了，自动饮水机没有这种问题，一般5天洗一次，洗的时候，饮水机干净，一点没有滑腻感，我只是为了洗猫毛,2025-02-07,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,佛山JayLeung,我也是,2025-02-18,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,momo,之前用自来水都会生这种，后来换白开水就不生了,2025-02-22,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,碳水小猫不会呼噜,白开水真的很好。,2025-02-23,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,八公公在飞,这玩意儿是智商税，家里的早丢了，就买了人用的瓷碟子当水碗，早晚换凉白开,2025-02-02,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,也无风雨也无晴,挺好，就是有点费事。我今天也发现自助饮水机的底部有粉红色，应该是某种细菌,2025-02-11,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,鍇雯的魔法森林,但问题是，用陶瓷碗，很多猫毛 怎么过滤,2025-07-15广东,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,80597,每天换水，甚至每天换两次水 我没买自动饮水机之前就是这样干的。,2025-07-16加拿大,2
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,momo,两只猫，天天倒一碗自来水，每天回家都能看到喝半碗，然后倒掉继续装满,2025-02-20,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,用户已注销,我也是,2025-02-21,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,A冷,"粘质沙雷菌，喜欢湿润的环境。自来水中有氯成分，粘质沙雷菌就不能在自来水中存活，一般都是纯净水中易存在，如果自来水放久了，氯自然消除了，也会有这种细菌存在。用酒精泡洗，晾干就可以继续用。有时候科技就是一把双刃剑，你想想：自来水不想直接喝，因为有氯不好喝，但是氯又可以抑制细菌生长",2025-06-19广东,7
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,披马甲上网,2025-07-16北京,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,💤我的猫叫咪噜,用了四年饮水机 改为手动加水了 每天换水洗碗感觉更加好 除了出差用一下饮水机,2025-05-17广东,3
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,喜宝,冬天天气冷了水太凉怎么办,2025-09-03四川,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,三猫毛,自动饮水机尽量别用滤芯了，每天或者两天换一次水，就要个猫咪喜欢的流动感,2025-03-11黑龙江,3
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,高一5班,我在考虑滤芯要不要饭，用的美的饮水器,2025-03-26上海,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,xixi,刚买了个这个，没有滤芯，应该没有这种问题吧,2025-08-17北京,3
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,xixi,看宣传是这么写的,2025-08-17北京,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,momo,也是，发现后换了个uv杀菌的饮水机,2025-02-03,2
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,🎀雯阿雯Yilia🎀,什么牌子,2025-12-06北京,0
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,很多很多奇,自动饮水机也要经常洗，猫毛在过滤器那些都是小事了，很多猫吃完东西就跑去喝水，残渣也会带进饮水机里，这种残渣最容易出问题,2025-02-08,2
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,鄭先森,买个那种乌龟过滤器里面塞上过滤棉和食品级活性炭 半个月不洗都没有黏黏的 不过水尽量还是一周到2周一换,2025-03-23湖北,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,云吃吃（家有绝世大好猫版）,我以前用过瓷碗自制喷泉，有段时间还挺火的，然后就发现两天一洗还是会滑溜溜，现在回归普通玻璃水杯,2025-03-04安徽,2
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,半岛的铁盒,我三四天才清理一次，没感觉黏糊糊的啊，不过我都是倒矿泉水，不知道是不是这个原因,2025-02-06,2
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,起个昵称不能重复好难,应该不是，可能跟地区有关。我记得之前看过自来水因为有氯可能更不容易生出新的菌群,2025-02-06,3
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,💖💖,基本一天一洗一换水，最多两天，不能再多了，已经用两年了,2025-02-03,1
刚去完医院！再也不要用猫咪自动饮水机了❌,不走弯路的K,2025-02-04,653,653,不走弯路的K,所以我还是用回陶瓷碗，这个我每天洗很麻烦，还感觉会洗不干净,2025-02-04,0
